product_name,product_rating,product_current_price,product_url
Disney Dreamlight Valley Cozy Edition Nintendo Switch Game,"Rating 5.000006 out of 5
(6)",£41.99,https://www.argos.co.uk/product/7082942
Mortal Kombat 1 Nintendo Switch Game,"Rating 5.000005 out of 5
(5)",£26.99,https://www.argos.co.uk/product/7143324
RollerCoaster Tycoon Adventures Deluxe Nintendo Switch Game,"Rating 5.000005 out of 5
(5)",£30.99,https://www.argos.co.uk/product/5815960
Team Sonic Racing Nintendo Switch Game,"Rating 5.000005 out of 5
(5)",£22.99,https://www.argos.co.uk/product/5795200
Miraculous: Rise Of The Sphinx Nintendo Switch Game,"Rating 4.700007 out of 5
(7)",£23.99,https://www.argos.co.uk/product/4742780
LEGO Worlds Nintendo Switch Game,"Rating 4.40001 out of 5
(10)",£15.99,https://www.argos.co.uk/product/7088290
The Walking Dead: Destinies Nintendo Switch Game,"Rating 5.000004 out of 5
(4)",£22.99,https://www.argos.co.uk/product/3988741
My Universe: Fashion Boutique Nintendo Switch Game,"Rating 4.500006 out of 5
(6)",£11.99,https://www.argos.co.uk/product/5250745
Horrid Henry's Krazy Karts Nintendo Switch Game,"Rating 5.000003 out of 5
(3)",£11.99,https://www.argos.co.uk/product/5811263
Fortnite Transformers Pack Nintendo Switch Game,"Rating 4.300009 out of 5
(9)",£18.49,https://www.argos.co.uk/product/6829515
WarioWare: Move It! Nintendo Switch Game,"Rating 4.300007 out of 5
(7)",£32.99,https://www.argos.co.uk/product/5440005
Farming Simulator 23 Nintendo Switch Edition Switch Game,"Rating 4.500004 out of 5
(4)",£36.99,https://www.argos.co.uk/product/7142260
Prince Of Persia: The Lost Crown Nintendo Switch Game,"Rating 5.000002 out of 5
(2)",£21.99,https://www.argos.co.uk/product/3636536
PAW Patrol World Nintendo Switch Game,"Rating 4.300004 out of 5
(4)",£22.99,https://www.argos.co.uk/product/7123007
LEGO Marvel Super Heroes 2 Nintendo Switch Game,"Rating 4.00002 out of 5
(20)",£15.99,https://www.argos.co.uk/product/7128844
Instant Chef Party Nintendo Switch Game,"Rating 5.000001 out of 5
(1)",£7.99,https://www.argos.co.uk/product/4849982
My Time At Sandrock Nintendo Switch Game,"Rating 5.000001 out of 5
(1)",£27.99,https://www.argos.co.uk/product/4633112
Eiyuden Chronicle: Hundred Heroes Nintendo Switch Game,"Rating 5.000001 out of 5
(1)",£49.99,https://www.argos.co.uk/product/3347375
Fate/Samurai Remnant Nintendo Switch Game,"Rating 5.000001 out of 5
(1)",£44.99,https://www.argos.co.uk/product/3155574
Redout 2 Deluxe Edition Nintendo Switch Game,"Rating 5.000001 out of 5
(1)",£26.99,https://www.argos.co.uk/product/1186394
Are You Smarter Than A 5th Grader? Nintendo Switch Game,"Rating 5.000001 out of 5
(1)",£20.99,https://www.argos.co.uk/product/1127793
DreamWorks All-Star Kart Racing Nintendo Switch Game,"Rating 4.000005 out of 5
(5)",£22.99,https://www.argos.co.uk/product/4849377
Endless Ocean Luminous Nintendo Switch Game,"Rating 4.000002 out of 5
(2)",£35.99,https://www.argos.co.uk/product/4650401
Yars Rising Nintendo Switch Game,,£25.99,https://www.argos.co.uk/product/7088654
Harvest Moon: The Winds Of Anthos Nintendo Switch Game,,£34.99,https://www.argos.co.uk/product/7071018
Time On Frog Island Nintendo Switch Game,,£7.99,https://www.argos.co.uk/product/7047523
Mario & Luigi: Brothership Nintendo Switch Game Pre-Order,,£42.99,https://www.argos.co.uk/product/6751195
Gigantosaurus: Dino Sports Nintendo Switch Game,,£31.99,https://www.argos.co.uk/product/6607445
Ultra Mega Xtra Party Challenge Nintendo Switch Game,,£11.99,https://www.argos.co.uk/product/5815898
Construction Simulator 4 Nintendo Switch Game,,£26.99,https://www.argos.co.uk/product/5813704
Jurassic Park Classic Games Collection Nintendo Switch Game,,£31.99,https://www.argos.co.uk/product/5813591
One Piece Odyssey Deluxe Edition Nintendo Switch Game,,£50.99,https://www.argos.co.uk/product/5792904
Shin Megami Tensei V: Vengeance Nintendo Switch Game,,£49.99,https://www.argos.co.uk/product/5255317
Clive 'N' Wrench Nintendo Switch Game,,£14.99,https://www.argos.co.uk/product/5252035
V-Rally 4 Nintendo Switch Game,,£11.99,https://www.argos.co.uk/product/5250800
Super Monkey Ball Banana Rumble Nintendo Switch Game,,£32.99,https://www.argos.co.uk/product/5029653
South Park: Snow Day! Nintendo Switch Game,,£19.99,https://www.argos.co.uk/product/5023972
TMNT: Mutants Unleashed Nintendo Switch Game Pre-Order,,£32.99,https://www.argos.co.uk/product/4881555
My Universe: Doctors and Nurses Nintendo Switch Game,,£11.99,https://www.argos.co.uk/product/4849786
Hot Lap Racing Nintendo Switch Game Pre-Order,,£31.99,https://www.argos.co.uk/product/4842604
Ghost Parade Nintendo Switch Game,,£11.99,https://www.argos.co.uk/product/4741341
SPY x ANYA: Operation Memories Nintendo Switch Game,,£38.99,https://www.argos.co.uk/product/4657576
Moving Out 2 Nintendo Switch Game,,£21.99,https://www.argos.co.uk/product/4634087
PJ Masks Power Heroes Mighty Alliance Nintendo Switch Game,,£24.99,https://www.argos.co.uk/product/4630043
Garden Simulator Nintendo Switch Game,,£11.99,https://www.argos.co.uk/product/4354862
Tee Time Golf Nintendo Switch Game,,£11.99,https://www.argos.co.uk/product/4332798
Digimon World: Next Order Nintendo Switch Game,,£38.99,https://www.argos.co.uk/product/4277468
Gearshifters Nintendo Switch Game,,£11.99,https://www.argos.co.uk/product/4039510
Instant Sports All-Stars Nintendo Switch Game,,£11.99,https://www.argos.co.uk/product/4037495
HOA Nintendo Switch Game,,£9.99,https://www.argos.co.uk/product/4015565
Contra: Operation Galuga Nintendo Switch Game,,£33.99,https://www.argos.co.uk/product/3631490
