product_name,product_rating,product_current_price,product_url
Assassin's Creed Mirage PS5 Game,"Rating 4.500047 out of 5
(47)",£28.99,https://www.argos.co.uk/product/4845412
Crisis Core: Final Fantasy VII Reunion PS5 Game,"Rating 4.800021 out of 5
(21)",£21.99,https://www.argos.co.uk/product/7128875
Street Fighter 6 PS5 Game,"Rating 4.900016 out of 5
(16)",£22.99,https://www.argos.co.uk/product/3989496
RoboCop: Rogue City PS5 Game,"Rating 4.700021 out of 5
(21)",£37.99,https://www.argos.co.uk/product/6824091
TEKKEN 8 Launch Edition PS5 Game,"Rating 4.800015 out of 5
(15)",£59.99,https://www.argos.co.uk/product/6936271
Sonic Frontiers PS5 Game,"Rating 4.800015 out of 5
(15)",£29.99,https://www.argos.co.uk/product/5259870
The Witcher 3: Wild Hunt - Complete Edition PS5 Game,"Rating 4.900012 out of 5
(12)",£15.49,https://www.argos.co.uk/product/7125830
Gotham Knights PS5 Game,"Rating 4.500022 out of 5
(22)",£19.99,https://www.argos.co.uk/product/5664946
Lords Of The Fallen PS5 Game,"Rating 4.900011 out of 5
(11)",£29.99,https://www.argos.co.uk/product/4653013
PGA TOUR Road To The Masters PS5 Game,"Rating 4.600017 out of 5
(17)",£20.99,https://www.argos.co.uk/product/5817487
Hot Wheels Unleashed PS5 Game,"Rating 4.800012 out of 5
(12)",£11.00,https://www.argos.co.uk/product/9565515
Avatar: Frontiers Of Pandora PS5 Game,"Rating 4.800012 out of 5
(12)",£33.99,https://www.argos.co.uk/product/3989032
Sniper Elite 5 PS5 Game,"Rating 4.90001 out of 5
(10)",£23.99,https://www.argos.co.uk/product/5665914
Five Nights At Freddy's: Security Breach PS5 Game,"Rating 4.900009 out of 5
(9)",£27.99,https://www.argos.co.uk/product/6670001
Dragon's Dogma II Steelbook Edition PS5 Game,"Rating 4.900009 out of 5
(9)",£49.99,https://www.argos.co.uk/product/4630122
Dragon Ball Z: Kakarot PS5 Game,"Rating 4.80001 out of 5
(10)",£13.99,https://www.argos.co.uk/product/5812200
Sonic Origins Plus PS5 Game,"Rating 4.800006 out of 5
(6)",£21.99,https://www.argos.co.uk/product/5867169
Skull And Bones PS5 Game,"Rating 4.800005 out of 5
(5)",£31.99,https://www.argos.co.uk/product/3420845
Banishers: Ghosts Of New Eden PS5 Game,"Rating 5.000004 out of 5
(4)",£46.99,https://www.argos.co.uk/product/3989829
TopSpin 2K25 PS5 Game,"Rating 4.800004 out of 5
(4)",£31.99,https://www.argos.co.uk/product/4650810
Madden NFL 24 PS5 Game,"Rating 5.000003 out of 5
(3)",£23.99,https://www.argos.co.uk/product/7122242
LEGO 2K Drive PS5 Game,"Rating 4.500004 out of 5
(4)",£14.99,https://www.argos.co.uk/product/7128002
Clive 'N' Wrench PS5 Game,"Rating 5.000002 out of 5
(2)",£18.99,https://www.argos.co.uk/product/5792193
Thymesia PS5 Game,"Rating 5.000002 out of 5
(2)",£21.99,https://www.argos.co.uk/product/2845902
Hitman: World Of Assassination PS5 Game,"Rating 4.100007 out of 5
(7)",£27.99,https://www.argos.co.uk/product/4729435
Fortnite Transformers Pack PS5 Game,"Rating 4.500002 out of 5
(2)",£18.49,https://www.argos.co.uk/product/7047028
System Shock PS5 Game,"Rating 4.500002 out of 5
(2)",£32.99,https://www.argos.co.uk/product/5813560
Aliens: Dark Descent PS5 Game,"Rating 4.300003 out of 5
(3)",£31.99,https://www.argos.co.uk/product/2720027
Jurassic Park Classic Games Collection PS5 Game,"Rating 5.000001 out of 5
(1)",£31.99,https://www.argos.co.uk/product/5813577
Bluey: The Videogame PS5 Game,"Rating 5.000001 out of 5
(1)",£30.99,https://www.argos.co.uk/product/5661956
The Invincible PS5 Game,"Rating 5.000001 out of 5
(1)",£23.99,https://www.argos.co.uk/product/4657882
You Suck At Parking PS5 Game,"Rating 5.000001 out of 5
(1)",£10.99,https://www.argos.co.uk/product/4633260
Jurassic World Evolution 2 PS5 Game,"Rating 5.000001 out of 5
(1)",£40.99,https://www.argos.co.uk/product/4633150
Dragon Ball FighterZ PS5 Game,"Rating 5.000001 out of 5
(1)",£13.99,https://www.argos.co.uk/product/4161457
MX vs ATV Legends Season One PS5 Game,"Rating 5.000001 out of 5
(1)",£12.99,https://www.argos.co.uk/product/3930885
Unicorn Overlord: Standard Edition PS5 Game,"Rating 5.000001 out of 5
(1)",£49.99,https://www.argos.co.uk/product/3341364
CYGNI: All Guns Blazing PS5 Game,"Rating 5.000001 out of 5
(1)",£32.99,https://www.argos.co.uk/product/3157053
DREDGE Deluxe Edition PS5 Game,"Rating 5.000001 out of 5
(1)",£21.99,https://www.argos.co.uk/product/2158888
Miraculous: Rise Of The Sphinx PS5 Game,"Rating 5.000001 out of 5
(1)",£25.99,https://www.argos.co.uk/product/1150241
Truck & Logistics Simulator PS5 Game,"Rating 4.000002 out of 5
(2)",£19.49,https://www.argos.co.uk/product/3989654
F1 Manager 23 PS5 Game,"Rating 4.000001 out of 5
(1)",£15.49,https://www.argos.co.uk/product/7141852
Dragon Ball Xenoverse 2 PS5 Game,"Rating 4.000001 out of 5
(1)",£13.99,https://www.argos.co.uk/product/4747668
Jack Holmes: Master of Puppets PS5 Game,"Rating 4.000001 out of 5
(1)",£23.99,https://www.argos.co.uk/product/4650504
Sand Land PS5 Game,"Rating 4.000001 out of 5
(1)",£25.99,https://www.argos.co.uk/product/4032586
Warhammer Age Of Sigmar: Realms Of Ruin PS5 Game,"Rating 4.000001 out of 5
(1)",£33.99,https://www.argos.co.uk/product/3630831
Devil May Cry 5 Special Edition PS5 Game,,£20.99,https://www.argos.co.uk/product/8566508
Demon's Souls PS5 Game,,£64.99,https://www.argos.co.uk/product/7561456
Undisputed WBC Deluxe Edition PS5 Game Pre-Order,,£60.99,https://www.argos.co.uk/product/5829664
Assassin's Creed Shadows Gold Edition PS5 Game Pre-Order,,£84.99,https://www.argos.co.uk/product/5799828
Squirrel with a Gun PS5 Game Pre-Order,,£23.99,https://www.argos.co.uk/product/5793051
34 Sports Game: World Edition PS5 Game,,£23.99,https://www.argos.co.uk/product/5665402
Five Nights at Freddy's: Help Wanted 2 PS5 Game,,£29.99,https://www.argos.co.uk/product/5646988
Shin Megami Tensei V: Vengeance PS5 Game,,£44.99,https://www.argos.co.uk/product/5255331
Pool Party PS5 Game,,£16.99,https://www.argos.co.uk/product/5255238
Star Wars Outlaws Gold Edition PS5 Game,,£89.99,https://www.argos.co.uk/product/5251160
Outer Wilds: Archaeologist Edition PS5 Game,,£32.99,https://www.argos.co.uk/product/4881809
My Little Pony: A Zephyr Heights Mystery PS5 Game,,£34.99,https://www.argos.co.uk/product/4844743
MX vs ATV Legends 2024 MES Edition PS5 Game,,£21.99,https://www.argos.co.uk/product/4842350
Pacific Drive: Deluxe Edition PS5 Game,,£27.99,https://www.argos.co.uk/product/4729947
Disney Epic Mickey: Rebrushed PS5 Game Pre-Order,,£41.99,https://www.argos.co.uk/product/4650717
Withering Rooms PS5 Game,,£23.49,https://www.argos.co.uk/product/4650449
Whisker Waters PS5 Game,,£26.99,https://www.argos.co.uk/product/4650188
PAW Patrol World PS5 Game,,£22.99,https://www.argos.co.uk/product/4649687
Classified: France '44 PS5 Game,,£25.99,https://www.argos.co.uk/product/4633291
Bassmaster Fishing: Deluxe Edition PS5 Game,,£11.99,https://www.argos.co.uk/product/4332004
